"C(3; 1, 2)";1;1;6;7
"C(4; 1, 2)";1;1;8;4
"C(5; 1, 2)";1;1;10;2
"C(6; 1, 2)";2;1,2;12;5
"C(7; 1, 2)";2;1,33333;14;6
"C(8; 1, 2)";2;1,42857;16;11
"C(9; 2, 3)";2;1,5;18;23
"C(10; 2, 3)";2;1,55556;20;22
"C(11; 2, 3)";2;1,6;22;41
"C(12; 2, 3)";2;1,63636;24;40
"C(13; 2, 3)";2;1,66667;26;134
"C(14; 2, 3)";3;1,76923;28;131
"C(15; 2, 3)";3;1,85714;30;160
"C(16; 2, 3)";3;1,93333;32;96
"C(17; 2, 3)";3;2;34;112
"C(18; 2, 3)";3;2,05882;36;146
"C(19; 3, 4)";3;2,11111;38;180
"C(20; 3, 4)";3;2,15789;40;191
"C(21; 3, 4)";3;2,2;42;307
"C(22; 3, 4)";3;2,2381;44;283
"C(23; 3, 4)";3;2,27273;46;491
"C(24; 3, 4)";3;2,30435;48;374
"C(25; 3, 4)";3;2,33333;50;466
"C(26; 3, 4)";4;2,4;52;546
"C(27; 3, 4)";4;2,46154;54;565
"C(28; 3, 4)";4;2,51852;56;657
"C(29; 3, 4)";4;2,57143;58;744
"C(30; 3, 4)";4;2,62069;60;826
"C(31; 3, 4)";4;2,66667;62;955
"C(32; 3, 4)";4;2,70968;64;980
"C(33; 4, 5)";4;2,75;66;1102
"C(34; 4, 5)";4;2,78788;68;1959
"C(35; 4, 5)";4;2,82353;70;1379
"C(36; 4, 5)";4;2,85714;72;2356
"C(37; 4, 5)";4;2,88889;74;1634
"C(38; 4, 5)";4;2,91892;76;1744
"C(39; 4, 5)";4;2,94737;78;1887
"C(40; 4, 5)";4;2,97436;80;1941
"C(41; 4, 5)";4;3;82;2438
"C(42; 4, 5)";5;3,04878;84;2315
"C(43; 4, 5)";5;3,09524;86;2853
"C(44; 4, 5)";5;3,13953;88;3031
"C(45; 4, 5)";5;3,18182;90;3105
"C(46; 4, 5)";5;3,22222;92;3535
"C(47; 4, 5)";5;3,26087;94;3871
"C(48; 4, 5)";5;3,29787;96;3932
"C(49; 4, 5)";5;3,33333;98;4782
"C(50; 4, 5)";5;3,36735;100;4575
"C(51; 5, 6)";5;3,4;102;4940
"C(52; 5, 6)";5;3,43137;104;5135
"C(53; 5, 6)";5;3,46154;106;5967
"C(54; 5, 6)";5;3,49057;108;5606
"C(55; 5, 6)";5;3,51852;110;6653
"C(56; 5, 6)";5;3,54545;112;6618
"C(57; 5, 6)";5;3,57143;114;7336
"C(58; 5, 6)";5;3,59649;116;7662
"C(59; 5, 6)";5;3,62069;118;13168
"C(60; 5, 6)";5;3,64407;120;8086
"C(61; 5, 6)";5;3,66667;122;10406
"C(62; 5, 6)";6;3,70492;124;9613
"C(63; 5, 6)";6;3,74194;126;10301
"C(64; 5, 6)";6;3,77778;128;11051
"C(65; 5, 6)";6;3,8125;130;12037
"C(66; 5, 6)";6;3,84615;132;11658
"C(67; 5, 6)";6;3,87879;134;21004
"C(68; 5, 6)";6;3,91045;136;13164
"C(69; 5, 6)";6;3,94118;138;14115
"C(70; 5, 6)";6;3,97101;140;14396
"C(71; 5, 6)";6;4;142;17026
"C(72; 5, 6)";6;4,02817;144;15402
"C(73; 6, 7)";6;4,05556;146;19232
"C(74; 6, 7)";6;4,08219;148;18381
"C(75; 6, 7)";6;4,10811;150;26429
"C(76; 6, 7)";6;4,13333;152;20036
"C(77; 6, 7)";6;4,15789;154;22509
"C(78; 6, 7)";6;4,18182;156;21106
"C(79; 6, 7)";6;4,20513;158;24965
"C(80; 6, 7)";6;4,22785;160;23377
"C(81; 6, 7)";6;4,25;162;26619
"C(82; 6, 7)";6;4,2716;164;27004
"C(83; 6, 7)";6;4,29268;166;30567
"C(84; 6, 7)";6;4,31325;168;34003
"C(85; 6, 7)";6;4,33333;170;31900
"C(86; 6, 7)";7;4,36471;172;31462
"C(87; 6, 7)";7;4,39535;174;33460
"C(88; 6, 7)";7;4,42529;176;33541
"C(89; 6, 7)";7;4,45455;178;36857
"C(90; 6, 7)";7;4,48315;180;42331
"C(91; 6, 7)";7;4,51111;182;40882
"C(92; 6, 7)";7;4,53846;184;38391
"C(93; 6, 7)";7;4,56522;186;41431
"C(94; 6, 7)";7;4,5914;188;42095
"C(95; 6, 7)";7;4,61702;190;45880
"C(96; 6, 7)";7;4,64211;192;42647
"C(97; 6, 7)";7;4,66667;194;51487
"C(98; 6, 7)";7;4,69072;196;48979
"C(99; 7, 8)";7;4,71429;198;53273
"C(100; 7, 8)";7;4,73737;200;51206
"C(101; 7, 8)";7;4,76;202;60747
"C(102; 7, 8)";7;4,78218;204;54971
"C(103; 7, 8)";7;4,80392;206;64754
"C(104; 7, 8)";7;4,82524;208;65194
"C(105; 7, 8)";7;4,84615;210;63706
"C(106; 7, 8)";7;4,86667;212;66906
"C(107; 7, 8)";7;4,88679;214;75600
"C(108; 7, 8)";7;4,90654;216;65506
"C(109; 7, 8)";7;4,92593;218;80071
"C(110; 7, 8)";7;4,94495;220;77832
"C(111; 7, 8)";7;4,96364;222;80845
"C(112; 7, 8)";7;4,98198;224;78522
"C(113; 7, 8)";7;5;226;91615
"C(114; 7, 8)";8;5,02655;228;92887
"C(115; 7, 8)";8;5,05263;230;96331
"C(116; 7, 8)";8;5,07826;232;90794
"C(117; 7, 8)";8;5,10345;234;104192
"C(118; 7, 8)";8;5,12821;236;98538
"C(119; 7, 8)";8;5,15254;238;123506
"C(120; 7, 8)";8;5,17647;240;102024
"C(121; 7, 8)";8;5,2;242;117896
"C(122; 7, 8)";8;5,22314;244;112551
"C(123; 7, 8)";8;5,2459;246;120163
"C(124; 7, 8)";8;5,26829;248;119989
"C(125; 7, 8)";8;5,29032;250;130605
"C(126; 7, 8)";8;5,312;252;126296
"C(127; 7, 8)";8;5,33333;254;142153
"C(128; 7, 8)";8;5,35433;256;131634
"C(129; 8, 9)";8;5,375;258;145528
"C(130; 8, 9)";8;5,39535;260;140455
"C(131; 8, 9)";8;5,41538;262;163324
"C(132; 8, 9)";8;5,43511;264;138655
"C(133; 8, 9)";8;5,45455;266;176514
"C(134; 8, 9)";8;5,47368;268;160142
"C(135; 8, 9)";8;5,49254;270;172753
"C(136; 8, 9)";8;5,51111;272;175001
"C(137; 8, 9)";8;5,52941;274;190925
"C(138; 8, 9)";8;5,54745;276;169063
"C(139; 8, 9)";8;5,56522;278;204141
"C(140; 8, 9)";8;5,58273;280;181234
"C(141; 8, 9)";8;5,6;282;228014
"C(142; 8, 9)";8;5,61702;284;199122
"C(143; 8, 9)";8;5,6338;286;249504
"C(144; 8, 9)";8;5,65035;288;230446
"C(145; 8, 9)";8;5,66667;290;246291
"C(146; 8, 9)";9;5,68966;292;322850
"C(147; 8, 9)";9;5,71233;294;305683
"C(148; 8, 9)";9;5,73469;296;242587
"C(149; 8, 9)";9;5,75676;298;326338
"C(150; 8, 9)";9;5,77852;300;289038
"C(151; 8, 9)";9;5,8;302;355857
"C(152; 8, 9)";9;5,82119;304;279978
"C(153; 8, 9)";9;5,84211;306;411809
"C(154; 8, 9)";9;5,86275;308;360394
"C(155; 8, 9)";9;5,88312;310;431063
"C(156; 8, 9)";9;5,90323;312;453386
"C(157; 8, 9)";9;5,92308;314;431970
"C(158; 8, 9)";9;5,94268;316;390734
"C(159; 8, 9)";9;5,96203;318;413980
"C(160; 8, 9)";9;5,98113;320;465965
"C(161; 8, 9)";9;6;322;511983
"C(162; 8, 9)";9;6,01863;324;380067
"C(163; 9, 10)";9;6,03704;326;468821
"C(164; 9, 10)";9;6,05521;328;422498
"C(165; 9, 10)";9;6,07317;330;433105
"C(166; 9, 10)";9;6,09091;332;513961
"C(167; 9, 10)";9;6,10843;334;487779
"C(168; 9, 10)";9;6,12575;336;432319
"C(169; 9, 10)";9;6,14286;338;526939
"C(170; 9, 10)";9;6,15976;340;468645
"C(171; 9, 10)";9;6,17647;342;530759
"C(172; 9, 10)";9;6,19298;344;504115
"C(173; 9, 10)";9;6,2093;346;574506
"C(174; 9, 10)";9;6,22543;348;510220
"C(175; 9, 10)";9;6,24138;350;582740
"C(176; 9, 10)";9;6,25714;352;526425
"C(177; 9, 10)";9;6,27273;354;582463
"C(178; 9, 10)";9;6,28814;356;596077
"C(179; 9, 10)";9;6,30337;358;657346
"C(180; 9, 10)";9;6,31844;360;539605
"C(181; 9, 10)";9;6,33333;362;720906
"C(182; 9, 10)";10;6,35359;364;696903
"C(183; 9, 10)";10;6,37363;366;671697
"C(184; 9, 10)";10;6,39344;368;635388
"C(185; 9, 10)";10;6,41304;370;727708
"C(186; 9, 10)";10;6,43243;372;628665
"C(187; 9, 10)";10;6,45161;374;783213
"C(188; 9, 10)";10;6,47059;376;718334
"C(189; 9, 10)";10;6,48936;378;768472
"C(190; 9, 10)";10;6,50794;380;731389
"C(191; 9, 10)";10;6,52632;382;865250
"C(192; 9, 10)";10;6,5445;384;711213
"C(193; 9, 10)";10;6,5625;386;903978
"C(194; 9, 10)";10;6,58031;388;847641
"C(195; 9, 10)";10;6,59794;390;837673
"C(196; 9, 10)";10;6,61538;392;835738
"C(197; 9, 10)";10;6,63265;394;954494
"C(198; 9, 10)";10;6,64975;396;872824
"C(199; 9, 10)";10;6,66667;398;969352
"C(200; 9, 10)";10;6,68342;400;865000
"C(201; 10, 11)";10;6,7;402;973849
"C(202; 10, 11)";10;6,71642;404;914408
"C(203; 10, 11)";10;6,73267;406;1049625
"C(204; 10, 11)";10;6,74877;408;844080
"C(205; 10, 11)";10;6,76471;410;1042887
"C(206; 10, 11)";10;6,78049;412;986700
"C(207; 10, 11)";10;6,79612;414;1033055
"C(208; 10, 11)";10;6,81159;416;1018482
"C(209; 10, 11)";10;6,82692;418;1145830
"C(210; 10, 11)";10;6,84211;420;1070043
"C(211; 10, 11)";10;6,85714;422;1218239
"C(212; 10, 11)";10;6,87204;424;1114712
"C(213; 10, 11)";10;6,88679;426;1199563
"C(214; 10, 11)";10;6,90141;428;1200953
"C(215; 10, 11)";10;6,91589;430;1315286
"C(216; 10, 11)";10;6,93023;432;1045313
"C(217; 10, 11)";10;6,94444;434;1391808
"C(218; 10, 11)";10;6,95853;436;1235754
"C(219; 10, 11)";10;6,97248;438;1276787
"C(220; 10, 11)";10;6,9863;440;1195751
"C(221; 10, 11)";10;7;442;1437209
"C(222; 10, 11)";11;7,0181;444;1254879
"C(223; 10, 11)";11;7,03604;446;1548374
"C(224; 10, 11)";11;7,05381;448;1335649
"C(225; 10, 11)";11;7,07143;450;1550575
"C(226; 10, 11)";11;7,08889;452;1370886
"C(227; 10, 11)";11;7,10619;454;1323861
"C(228; 10, 11)";11;7,12335;456;1172707
"C(229; 10, 11)";11;7,14035;458;1336183
"C(230; 10, 11)";11;7,15721;460;1215950
"C(231; 10, 11)";11;7,17391;462;1258188
"C(232; 10, 11)";11;7,19048;464;1263907
"C(233; 10, 11)";11;7,2069;466;1459284
"C(234; 10, 11)";11;7,22318;468;1233280
"C(235; 10, 11)";11;7,23932;470;1476052
"C(236; 10, 11)";11;7,25532;472;1426102
"C(237; 10, 11)";11;7,27119;474;1437078
"C(238; 10, 11)";11;7,28692;476;1384711
"C(239; 10, 11)";11;7,30252;478;1616337
"C(240; 10, 11)";11;7,31799;480;1307630
"C(241; 10, 11)";11;7,33333;482;1651913
"C(242; 10, 11)";11;7,34855;484;1637233
"C(243; 11, 12)";11;7,36364;486;1962727
"C(244; 11, 12)";11;7,3786;488;1996484
"C(245; 11, 12)";11;7,39344;490;1898037
"C(246; 11, 12)";11;7,40816;492;1679548
"C(247; 11, 12)";11;7,42276;494;2017861
"C(248; 11, 12)";11;7,43725;496;2029384
"C(249; 11, 12)";11;7,45161;498;1927013
"C(250; 11, 12)";11;7,46586;500;1862023
"C(251; 11, 12)";11;7,48;502;2244824
"C(252; 11, 12)";11;7,49402;504;1844412
"C(253; 11, 12)";11;7,50794;506;2361262
"C(254; 11, 12)";11;7,52174;508;2287438
"C(255; 11, 12)";11;7,53543;510;2223907
"C(256; 11, 12)";11;7,54902;512;1873393
"C(257; 11, 97)";11;7,5625;514;2155874
"C(258; 11, 12)";11;7,57588;516;2145081
"C(259; 11, 12)";11;7,58915;518;2419800
"C(260; 11, 12)";11;7,60232;520;1930270
"C(261; 11, 12)";11;7,61538;522;2088805
"C(262; 11, 12)";11;7,62835;524;2452697
"C(263; 11, 12)";11;7,64122;526;2559531
"C(264; 11, 12)";11;7,65399;528;2038913
"C(265; 11, 12)";11;7,66667;530;2339221
"C(266; 11, 12)";12;7,68302;532;2187078
"C(267; 11, 12)";12;7,69925;534;2335283
"C(268; 11, 12)";12;7,71536;536;2207884
"C(269; 11, 12)";12;7,73134;538;2554205
"C(270; 11, 12)";12;7,74721;540;2063536
"C(271; 11, 12)";12;7,76296;542;2561529
"C(272; 11, 12)";12;7,7786;544;2483376
"C(273; 11, 12)";12;7,79412;546;2695185
"C(274; 11, 12)";12;7,80952;548;2714763
"C(275; 11, 12)";12;7,82482;550;2818521
"C(276; 11, 12)";12;7,84;552;2522399
"C(277; 11, 12)";12;7,85507;554;3000291
"C(278; 11, 12)";12;7,87004;556;2821737
"C(279; 11, 12)";12;7,88489;558;3059559
"C(280; 11, 12)";12;7,89964;560;2843690
"C(281; 11, 12)";12;7,91429;562;3163838
"C(282; 11, 12)";12;7,92883;564;2758272
"C(283; 11, 12)";12;7,94326;566;3494098
"C(284; 11, 12)";12;7,9576;568;2780276
"C(285; 11, 12)";12;7,97183;570;2949016
"C(286; 11, 12)";12;7,98596;572;3220785
"C(287; 11, 12)";12;8;574;3487845
"C(288; 11, 12)";12;8,01394;576;2976372
"C(289; 12, 13)";12;8,02778;578;3710560
"C(290; 12, 13)";12;8,04152;580;3170866
"C(291; 12, 13)";12;8,05517;582;3565888
"C(292; 12, 13)";12;8,06873;584;3679582
"C(293; 12, 13)";12;8,08219;586;3534404
"C(294; 12, 13)";12;8,09556;588;2981477
"C(295; 12, 13)";12;8,10884;590;3520654
"C(296; 12, 13)";12;8,12203;592;3324852
"C(297; 12, 13)";12;8,13514;594;3538698
"C(298; 12, 13)";12;8,14815;596;3813886
"C(299; 12, 13)";12;8,16107;598;4099925
"C(300; 12, 13)";12;8,17391;600;3383260
"C(301; 12, 13)";12;8,18667;602;4356753
"C(302; 12, 13)";12;8,19934;604;3834655
"C(303; 12, 13)";12;8,21192;606;4003603
"C(304; 12, 13)";12;8,22442;608;4129684
"C(305; 12, 13)";12;8,23684;610;4571935
"C(306; 12, 13)";12;8,24918;612;3639146
"C(307; 12, 13)";12;8,26144;614;4440172
"C(308; 12, 13)";12;8,27362;616;3949100
"C(309; 12, 13)";12;8,28571;618;5588680
"C(310; 12, 13)";12;8,29773;620;4637344
"C(311; 12, 13)";12;8,30968;622;5031597
"C(312; 12, 13)";12;8,32154;624;4008007
"C(313; 12, 13)";12;8,33333;626;4886666
"C(314; 12, 13)";13;8,34824;628;4385212
"C(315; 12, 13)";13;8,36306;630;4463548
"C(316; 12, 13)";13;8,37778;632;4219176
"C(317; 12, 13)";13;8,39241;634;4900688
"C(318; 12, 13)";13;8,40694;636;4095273
"C(319; 12, 13)";13;8,42138;638;4945201
"C(320; 12, 13)";13;8,43574;640;4366230
"C(321; 12, 13)";13;8,45;642;5339196
"C(322; 12, 13)";13;8,46417;644;5762950
"C(323; 12, 138)";13;8,47826;646;5282359
"C(324; 12, 13)";13;8,49226;648;4355231
"C(325; 12, 13)";13;8,50617;650;5146932
"C(326; 12, 13)";13;8,52;652;4805373
"C(327; 12, 13)";13;8,53374;654;5073244
"C(328; 12, 13)";13;8,5474;656;4879914
"C(329; 12, 13)";13;8,56098;658;5788128
"C(330; 12, 13)";13;8,57447;660;4684825
"C(331; 12, 13)";13;8,58788;662;6040532
"C(332; 12, 153)";13;8,60121;664;5206205
"C(333; 12, 13)";13;8,61446;666;5704511
"C(334; 12, 13)";13;8,62763;668;5450922
"C(335; 12, 13)";13;8,64072;670;5791084
"C(336; 12, 13)";13;8,65373;672;4823144
"C(337; 12, 13)";13;8,66667;674;6190294
"C(338; 12, 13)";13;8,67953;676;5760956
"C(339; 13, 14)";13;8,69231;678;6034696
"C(340; 13, 14)";13;8,70501;680;5592274
"C(341; 13, 14)";13;8,71765;682;6548490
"C(342; 13, 14)";13;8,73021;684;5544017
"C(343; 13, 14)";13;8,74269;686;6463790
"C(344; 13, 14)";13;8,7551;688;5765574
"C(345; 13, 14)";13;8,76744;690;6040348
"C(346; 13, 14)";13;8,77971;692;6048903
"C(347; 13, 14)";13;8,79191;694;8122496
"C(348; 13, 14)";13;8,80403;696;7397534
"C(349; 13, 14)";13;8,81609;698;8461601
"C(350; 13, 14)";13;8,82808;700;8133498
"C(351; 13, 14)";13;8,84;702;8181177
"C(352; 13, 14)";13;8,85185;704;7711649
"C(353; 13, 14)";13;8,86364;706;8401083
"C(354; 13, 14)";13;8,87535;708;7005075
"C(355; 13, 14)";13;8,88701;710;8696501
"C(356; 13, 14)";13;8,89859;712;8009047
"C(357; 13, 14)";13;8,91011;714;8669181
"C(358; 13, 14)";13;8,92157;716;7733385
"C(359; 13, 14)";13;8,93296;718;8929053
"C(360; 13, 14)";13;8,94429;720;8176767
"C(361; 13, 14)";13;8,95556;722;8976774
"C(362; 13, 14)";13;8,96676;724;9185748
"C(363; 13, 14)";13;8,9779;726;8640553
"C(364; 13, 14)";13;8,98898;728;7512564
"C(365; 13, 14)";13;9;730;8609897
"C(366; 13, 14)";14;9,0137;732;7364136
"C(367; 13, 14)";14;9,02732;734;9126418
"C(368; 13, 14)";14;9,04087;736;7447311
"C(369; 13, 14)";14;9,05435;738;8134141
"C(370; 13, 14)";14;9,06775;740;7610541
"C(371; 13, 14)";14;9,08108;742;8680413
"C(372; 13, 14)";14;9,09434;744;7530967
"C(373; 13, 14)";14;9,10753;746;9198881
"C(374; 13, 14)";14;9,12064;748;8126205
"C(375; 13, 14)";14;9,13369;750;8383784
"C(376; 13, 14)";14;9,14667;752;8073066
"C(377; 13, 14)";14;9,15957;754;9332185
"C(378; 13, 14)";14;9,17241;756;7743998
"C(379; 13, 14)";14;9,18519;758;9581972
"C(380; 13, 14)";14;9,19789;760;8290718
"C(381; 13, 14)";14;9,21053;762;9253218
"C(382; 13, 14)";14;9,2231;764;9121954
"C(383; 13, 14)";14;9,2356;766;10409985
"C(384; 13, 14)";14;9,24804;768;8887016
"C(385; 13, 14)";14;9,26042;770;9794208
"C(386; 13, 14)";14;9,27273;772;9212011
"C(387; 13, 14)";14;9,28497;774;9592658
"C(388; 13, 14)";14;9,29716;776;9138785
"C(389; 13, 14)";14;9,30928;778;10631768
"C(390; 13, 14)";14;9,32134;780;8814650
"C(391; 13, 14)";14;9,33333;782;10583438
"C(392; 13, 14)";14;9,34527;784;9321853
"C(393; 14, 15)";14;9,35714;786;12804927
"C(394; 14, 15)";14;9,36896;788;10157397
"C(395; 14, 15)";14;9,38071;790;11485405
"C(396; 14, 15)";14;9,39241;792;9343755
"C(397; 14, 15)";14;9,40404;794;11583309
"C(398; 14, 15)";14;9,41562;796;10351047
"C(399; 14, 15)";14;9,42714;798;12254452
"C(400; 14, 15)";14;9,4386;800;10654232
"C(401; 14, 15)";14;9,45;802;425
"C(402; 14, 15)";14;9,46135;804;426
"C(403; 14, 15)";14;9,47264;806;431
"C(404; 14, 15)";14;9,48387;808;434
"C(405; 14, 15)";14;9,49505;810;432
"C(406; 14, 15)";14;9,50617;812;433
"C(407; 14, 15)";14;9,51724;814;435
"C(408; 14, 15)";14;9,52826;816;432
"C(409; 14, 15)";14;9,53922;818;436
"C(410; 14, 15)";14;9,55012;820;438
"C(411; 14, 15)";14;9,56098;822;458
"C(412; 14, 15)";14;9,57178;824;441
"C(413; 14, 15)";14;9,58252;826;714
"C(414; 14, 15)";14;9,59322;828;440
"C(415; 14, 15)";14;9,60386;830;444
"C(416; 14, 15)";14;9,61446;832;443
"C(417; 14, 15)";14;9,625;834;456
"C(418; 14, 15)";14;9,63549;836;450
"C(419; 14, 15)";14;9,64593;838;452
"C(420; 14, 15)";14;9,65632;840;450
"C(421; 14, 15)";14;9,66667;842;452
"C(422; 14, 15)";15;9,67933;844;474
"C(423; 14, 15)";15;9,69194;846;456
"C(424; 14, 15)";15;9,70449;848;611
"C(425; 14, 15)";15;9,71698;850;457
"C(426; 14, 15)";15;9,72941;852;463
"C(427; 14, 15)";15;9,74178;854;458
"C(428; 14, 15)";15;9,7541;856;461
"C(429; 14, 15)";15;9,76636;858;462
"C(430; 14, 15)";15;9,77855;860;466
"C(431; 14, 15)";15;9,7907;862;474
"C(432; 14, 15)";15;9,80278;864;467
"C(433; 14, 15)";15;9,81481;866;465
"C(434; 14, 15)";15;9,82679;868;483
"C(435; 14, 15)";15;9,83871;870;502
"C(436; 14, 15)";15;9,85057;872;482
"C(437; 14, 15)";15;9,86239;874;466
"C(438; 14, 15)";15;9,87414;876;471
"C(439; 14, 15)";15;9,88584;878;479
"C(440; 14, 15)";15;9,89749;880;476
"C(441; 14, 15)";15;9,90909;882;474
"C(442; 14, 15)";15;9,92063;884;490
"C(443; 14, 15)";15;9,93213;886;480
"C(444; 14, 15)";15;9,94357;888;532
"C(445; 14, 15)";15;9,95495;890;479
"C(446; 14, 15)";15;9,96629;892;487
"C(447; 14, 15)";15;9,97758;894;481
"C(448; 14, 15)";15;9,98881;896;486
"C(449; 14, 15)";15;10;898;484
"C(450; 14, 15)";15;10,0111;900;491
"C(451; 15, 16)";15;10,0222;902;538
"C(452; 15, 16)";15;10,0333;904;871
"C(453; 15, 16)";15;10,0442;906;543
"C(454; 15, 16)";15;10,0552;908;611
"C(455; 15, 16)";15;10,0661;910;581
"C(456; 15, 16)";15;10,0769;912;579
"C(457; 15, 16)";15;10,0877;914;588
"C(458; 15, 16)";15;10,0985;916;549
"C(459; 15, 16)";15;10,1092;918;550
"C(460; 15, 16)";15;10,1198;920;556
"C(461; 15, 16)";15;10,1304;922;562
"C(462; 15, 16)";15;10,141;924;562
"C(463; 15, 16)";15;10,1515;926;558
"C(464; 15, 16)";15;10,162;928;570
"C(465; 15, 16)";15;10,1724;930;558
"C(466; 15, 16)";15;10,1828;932;601
"C(467; 15, 16)";15;10,1931;934;626
"C(468; 15, 16)";15;10,2034;936;579
"C(469; 15, 16)";15;10,2137;938;894
"C(470; 15, 16)";15;10,2239;940;884
"C(471; 15, 16)";15;10,234;942;889
"C(472; 15, 16)";15;10,2442;944;571
"C(473; 15, 16)";15;10,2542;946;571
"C(474; 15, 16)";15;10,2643;948;574
"C(475; 15, 16)";15;10,2743;950;581
"C(476; 15, 16)";15;10,2842;952;579
"C(477; 15, 16)";15;10,2941;954;577
"C(478; 15, 16)";15;10,304;956;583
"C(479; 15, 16)";15;10,3138;958;579
"C(480; 15, 16)";15;10,3236;960;586
"C(481; 15, 16)";15;10,3333;962;582
"C(482; 15, 16)";16;10,3451;964;602
"C(483; 15, 16)";16;10,3568;966;587
"C(484; 15, 16)";16;10,3685;968;622
"C(485; 15, 16)";16;10,3802;970;587
"C(486; 15, 16)";16;10,3918;972;610
"C(487; 15, 16)";16;10,4033;974;591
"C(488; 15, 16)";16;10,4148;976;614
"C(489; 15, 16)";16;10,4262;978;596
"C(490; 15, 16)";16;10,4376;980;598
"C(491; 15, 16)";16;10,449;982;676
"C(492; 15, 16)";16;10,4603;984;611
"C(493; 15, 16)";16;10,4715;986;598
"C(494; 15, 16)";16;10,4828;988;610
"C(495; 15, 16)";16;10,4939;990;639
"C(496; 15, 16)";16;10,5051;992;605
"C(497; 15, 16)";16;10,5161;994;646
"C(498; 15, 16)";16;10,5272;996;606
"C(499; 15, 16)";16;10,5382;998;621
"C(500; 15, 16)";16;10,5491;1000;608
"C(501; 15, 16)";16;10,56;1002;607
"C(502; 15, 16)";16;10,5709;1004;614
"C(503; 15, 16)";16;10,5817;1006;613
"C(504; 15, 16)";16;10,5924;1008;660
"C(505; 15, 16)";16;10,6032;1010;615
"C(506; 15, 16)";16;10,6139;1012;637
"C(507; 15, 16)";16;10,6245;1014;619
"C(508; 15, 16)";16;10,6351;1016;648
"C(509; 15, 16)";16;10,6457;1018;623
"C(510; 15, 16)";16;10,6562;1020;662
"C(511; 15, 16)";16;10,6667;1022;631
"C(512; 15, 16)";16;10,6771;1024;631
"C(513; 16, 17)";16;10,6875;1026;694
"C(514; 16, 17)";16;10,6979;1028;704
"C(515; 16, 17)";16;10,7082;1030;717
"C(516; 16, 17)";16;10,7184;1032;709
"C(517; 16, 17)";16;10,7287;1034;1016
"C(518; 16, 17)";16;10,7389;1036;709
"C(519; 16, 17)";16;10,749;1038;706
"C(520; 16, 17)";16;10,7592;1040;705
"C(521; 16, 17)";16;10,7692;1042;709
"C(522; 16, 17)";16;10,7793;1044;726
"C(523; 16, 17)";16;10,7893;1046;712
"C(524; 16, 17)";16;10,7992;1048;718
"C(525; 16, 17)";16;10,8092;1050;712
"C(526; 16, 17)";16;10,819;1052;715
"C(527; 16, 17)";16;10,8289;1054;769
"C(528; 16, 17)";16;10,8387;1056;718
"C(529; 16, 17)";16;10,8485;1058;717
"C(544; 16, 17)";16;10,9908;1088;244086993
